time,step-size,{bodyFMU}.body.body.omega.flow,{bodyFMU}.body.body.v.flow[1],{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.servo_left.rotational_velocity.p3.f,{bodyFMU}.body.servo_right.rotational_velocity.p3.f,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
13.919999999999748,0.01,0.35085668121500707,0.05167019586417246,2.376480755990178,-0.12188085933292259,0.06316850935043948,0.0,1.0394599379273974,-2.068520757131752,0.1,-0.5,254.00000000000006,16.000000000000004
13.929999999999747,0.01,0.3671105397923219,0.051670355499335574,2.3800720126515333,-0.1222059661089428,0.06276443203134625,0.0,1.0152780165455444,-2.0927123841675015,0.1,-0.5,255.00000000000006,18.000000000000004
13.939999999999747,0.01,0.38220356413938056,0.05167050258987758,2.3838190649246616,-0.12252816013228929,0.062357804264271774,0.0,0.992944772492722,-2.1150545012444675,0.1,-0.5,254.00000000000006,21.000000000000004
13.949999999999747,0.01,0.39680487583097435,0.05167064877653181,2.3877146041090023,-0.12284744335282372,0.06194866756787305,0.0,0.9713485619172095,-2.1366595173062284,0.1,-0.5,254.00000000000006,26.000000000000007
13.959999999999747,0.01,0.41071522756136714,0.051670789812132606,2.3917528147788594,-0.12316379137866601,0.06153703899397327,0.0,0.9507471728253833,-2.1572694281181493,0.1,-0.5,254.00000000000006,36.00000000000001
13.969999999999747,0.01,0.42397454655913447,0.0516709252848099,2.3959267670867614,-0.12347719548575886,0.06112295092067359,0.0,0.9311228416534295,-2.1769019372760603,0.1,-0.5,254.00000000000006,50.000000000000014
13.979999999999746,0.01,0.43664724097329044,0.05167105582823412,2.400230374613231,-0.12378764263464254,0.06070643199615168,0.0,0.9123647567173097,-2.195667905943463,0.1,-0.5,254.00000000000006,64.00000000000001
13.989999999999746,0.01,0.4487398303349436,0.051671180863150826,2.4046577903694595,-0.1240951187480564,0.060287510201299147,0.0,0.894464144015072,-2.213576073130364,0.1,-0.5,254.00000000000006,76.00000000000001
13.999999999999746,0.01,0.46028318431157406,0.05167130037078271,2.4092033584548433,-0.12439961063255517,0.0598662145474934,0.0,0.8773775728433746,-2.23066986582983,0.1,-0.5,254.00000000000006,89.00000000000001
14.009999999999746,0.01,0.47130339974502344,0.051671414331313406,2.413861726003387,-0.12470110444783639,0.059442573603481944,0.0,0.8610650323141243,-2.2469892947459775,0.1,-0.5,254.00000000000006,102.00000000000003
