time,step-size,{bodyFMU}.body.body.omega.flow,{bodyFMU}.body.body.v.flow[1],{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
15.989999999999704,0.01,-0.4068520357411641,0.05167023797477689,3.3994426545368537,-0.12282216592644013,-0.09594447655914735,0.0,0.5,-0.1,100.00000000000003,255.00000000000006
15.999999999999703,0.01,-0.4203342562466406,0.05167038689456481,3.3953062701948173,-0.12274107398547812,-0.09645737058749153,0.0,0.5,-0.1,117.00000000000003,254.00000000000006
16.009999999999703,0.01,-0.4331763258298397,0.05167052998293174,3.391038149231633,-0.12266374327378615,-0.09697101635719026,0.0,0.5,-0.1,136.00000000000003,254.00000000000006
16.019999999999705,0.01,-0.44541586489365576,0.05167066693245086,3.3866447250293605,-0.12259016659911476,-0.09748538093797583,0.0,0.5,-0.1,155.00000000000003,254.00000000000006
16.029999999999706,0.01,-0.4571150794748923,0.05167079851732084,3.3821316100827095,-0.1225203422781273,-0.09800043268557798,0.0,0.5,-0.1,176.00000000000003,255.00000000000006
16.039999999999708,0.01,-0.46827838698940705,0.05167092421815764,3.377504198972898,-0.12245426979785029,-0.0985161401138911,0.0,0.5,-0.1,198.00000000000006,255.00000000000006
16.04999999999971,0.01,-0.47893465042464106,0.05167104409372159,3.3727677157331493,-0.12239194732007491,-0.09903247131957804,0.0,0.5,-0.1,219.00000000000006,254.00000000000006
16.05999999999971,0.01,-0.48910805104932653,0.051671158190030944,3.3679271009697587,-0.12233337373600006,-0.0995493945320067,0.0,0.5,-0.1,230.00000000000006,255.00000000000006
16.069999999999713,0.01,-0.49881908661583846,0.05167126650504106,3.3629870824163475,-0.12227854796677201,-0.1000668779709028,0.0,0.5,-0.1,240.00000000000006,254.00000000000006
16.079999999999714,0.01,-0.5080893033752512,0.05167136911126804,3.3579521752802957,-0.1222274689280004,-0.10058488986790913,0.0,0.5,-0.1,250.00000000000006,254.00000000000006
16.089999999999716,0.01,-0.5169386734150547,0.0516714660888121,3.3528266866016745,-0.12218013563456714,-0.1011033985155059,0.0,0.5,-0.1,254.00000000000006,255.00000000000006
